SNPS,MAPPED_GENE,DISEASE/TRAIT,P-VALUE,OR or BETA,95% CI (TEXT),STUDY ACCESSION,PUBMEDID
rs138128600,RNU6-66P - RNU4-10P,Type 2 diabetes,2e-07,0.53,[0.33-0.73] unit increase,GCST002806,25760438
rs189178161,SNX29 - CPPED1,Type 2 diabetes,8e-06,0.64,[0.37-0.91] unit increase,GCST002806,25760438
rs13036344,COMMD7,Type 2 diabetes,9e-06,0.2,[0.12-0.28] unit increase,GCST002806,25760438
rs11240074,LINC00624 - BCL9,Type 2 diabetes,6e-06,0.21,[0.11-0.31] unit increase,GCST002806,25760438
rs4703911,ATP6AP1L - RPL5P16,Type 2 diabetes,7e-06,0.22,[0.12-0.32] unit increase,GCST002806,25760438
rs649891,PTPRD,Type 2 diabetes,6e-06,,,GCST001092,21647700
rs2074356,HECTD4,Glycemic traits,1e-16,0.321,[0.24-0.40] mmol-1 decrease,GCST001965,23575436
rs1799884,GCK,Glycemic traits,3e-10,0.162,[0.11-0.21] mmol-1 increase,GCST001965,23575436
rs2074356,HECTD4,Glycemic traits,6e-09,0.165,[0.11-0.22] mmol-1 decrease,GCST001965,23575436
rs11066453,OAS1,Glycemic traits,5e-09,0.242,[0.16-0.32] mmol-1 decrease,GCST001965,23575436
rs1799884,GCK,Glycemic traits,5e-18,0.063,[0.049-0.077] mmol-1 increase,GCST001965,23575436
rs10830962,SNRPGP16 - MTNR1B,Glycemic traits,5e-13,0.041,[0.029-0.053] mmol-1 increase,GCST001965,23575436
rs2074356,HECTD4,Glycemic traits,6e-14,0.061,[0.045-0.077] mmol-1 decrease,GCST001965,23575436
rs9348440,CDKAL1,Glycemic traits,3e-19,0.246,[0.19-0.30] mmol-1 increase,GCST001965,23575436
rs1799884,GCK,Glycemic traits,3e-09,0.208,[0.14-0.28] mmol-1 increase,GCST001965,23575436
rs10830962,SNRPGP16 - MTNR1B,Glycemic traits,3e-12,0.191,[0.14-0.24] mmol-1 increase,GCST001965,23575436
rs12229654,MYL2,Glycemic traits,9e-13,0.277,[0.20-0.35] mmol-1 decrease,GCST001965,23575436
rs7766070,CDKAL1,Type 2 diabetes,9e-09,1.38,[1.24-1.54],GCST002718,25483131
rs1873747,ROR2,Type 2 diabetes,4e-06,1.41,[1.22-1.63],GCST002718,25483131
rs34872471,TCF7L2,Type 2 diabetes,8e-08,1.32,[1.19-1.46],GCST002718,25483131
rs275856,OSBPL1A,Type 2 diabetes,1e-06,1.51,[1.28-1.77],GCST002718,25483131
rs73954691,LIMS2,Type 2 diabetes,3e-06,2.6,[1.74-3.88],GCST002718,25483131
rs35209784,DAAM1,Type 2 diabetes,5e-06,3.57,[1.92-6.25],GCST002718,25483131
rs2055942,GABRA4,Type 2 diabetes,1e-06,,,GCST002123,23937595
rs1058018,UBE2Z,Type 2 diabetes,3e-08,1.09,[1.05-1.11],GCST005716,27362418
rs614288,POC1A - ALDOAP1,Bipolar disorder or type 2 diabetes,2e-08,0.05,[0.030-0.070] unit increase,GCST009372,31754094
rs6091248,KCNG1,Bipolar disorder or type 2 diabetes,4e-08,0.05,[0.030-0.070] unit increase,GCST009372,31754094
rs2972144,NYAP2 - MIR5702,Circulating leptin levels or type 2 diabetes,2e-12,,,GCST010272,32341051
rs13389219,COBLL1,Circulating leptin levels or type 2 diabetes,1e-08,,,GCST010272,32341051
rs780094,GCKR,Circulating leptin levels or type 2 diabetes,4e-08,,,GCST010272,32341051
rs7621569,SYN2,Circulating leptin levels or type 2 diabetes,2e-08,,,GCST010272,32341051
rs702634,ARL15,Circulating leptin levels or type 2 diabetes,4e-09,,,GCST010272,32341051
rs3776720,ARL15,Circulating leptin levels or type 2 diabetes,5e-08,,,GCST010272,32341051
rs3996352,KLF14 - LINC-PINT,Circulating leptin levels or type 2 diabetes,2e-09,,,GCST010272,32341051
rs4237150,GLIS3,Circulating leptin levels or type 2 diabetes,3e-09,,,GCST010272,32341051
rs2488075,Y_RNA - EXOC6,Circulating leptin levels or type 2 diabetes,2e-15,,,GCST010272,32341051
rs11257655,CDC123 - RN7SL198P,Circulating leptin levels or type 2 diabetes,9e-11,,,GCST010272,32341051
rs7896811,TCF7L2,Circulating leptin levels or type 2 diabetes,7e-09,,,GCST010272,32341051
rs5215,KCNJ11,Circulating leptin levels or type 2 diabetes,2e-12,,,GCST010272,32341051
rs6679717,RNA5SP74 - LRRN2,Type 2 diabetes or prostate cancer (pleiotropy),3e-13,,,GCST011320,33290408
rs73913932,GRHL1,Type 2 diabetes or prostate cancer (pleiotropy),4e-08,,,GCST011320,33290408
rs2289081,GDF7 - LDAH,Type 2 diabetes or prostate cancer (pleiotropy),2e-09,,,GCST011320,33290408
rs12464616,ZNF512,Type 2 diabetes or prostate cancer (pleiotropy),1e-08,,,GCST011320,33290408
rs11904510,THADA,Type 2 diabetes or prostate cancer (pleiotropy),8e-17,,,GCST011320,33290408
rs1009358,LINC02245,Type 2 diabetes or prostate cancer (pleiotropy),8e-09,,,GCST011320,33290408
rs1009358,LINC02576,Type 2 diabetes or prostate cancer (pleiotropy),8e-09,,,GCST011320,33290408
rs17041869,MIR4435-2HG,Type 2 diabetes or prostate cancer (pleiotropy),1e-12,,,GCST011320,33290408
rs17041869,BCL2L11,Type 2 diabetes or prostate cancer (pleiotropy),1e-12,,,GCST011320,33290408
rs2673148,NYAP2 - MIR5702,Type 2 diabetes or prostate cancer (pleiotropy),2e-08,,,GCST011320,33290408
rs11709119,SYN2 - GSTM5P1,Type 2 diabetes or prostate cancer (pleiotropy),5e-10,,,GCST011320,33290408
rs114460169,UBE2E2,Type 2 diabetes or prostate cancer (pleiotropy),2e-09,,,GCST011320,33290408
rs6808932,SIDT1,Type 2 diabetes or prostate cancer (pleiotropy),2e-12,,,GCST011320,33290408
rs11708733,EEFSEC,Type 2 diabetes or prostate cancer (pleiotropy),2e-08,,,GCST011320,33290408
rs6763927,ZBTB38,Type 2 diabetes or prostate cancer (pleiotropy),3e-09,,,GCST011320,33290408
rs76360965,MBNL1,Type 2 diabetes or prostate cancer (pleiotropy),2e-12,,,GCST011320,33290408
rs4530726,PELO-AS1,Type 2 diabetes or prostate cancer (pleiotropy),4e-08,,,GCST011320,33290408
rs10900829,LINC01843 - RN7SL541P,Type 2 diabetes or prostate cancer (pleiotropy),5e-10,,,GCST011320,33290408
rs9356756,CDKAL1,Type 2 diabetes or prostate cancer (pleiotropy),4e-08,,,GCST011320,33290408
rs1741652,RFX6 - RPS29P13,Type 2 diabetes or prostate cancer (pleiotropy),4e-08,,,GCST011320,33290408
rs4385321,RGS17,Type 2 diabetes or prostate cancer (pleiotropy),1e-15,,,GCST011320,33290408
rs316025,SLC22A2,Type 2 diabetes or prostate cancer (pleiotropy),1e-12,,,GCST011320,33290408
rs6944344,LINC01162,Type 2 diabetes or prostate cancer (pleiotropy),4e-08,,,GCST011320,33290408
rs38514,JAZF1,Type 2 diabetes or prostate cancer (pleiotropy),8e-10,,,GCST011320,33290408
rs73404162,LMTK2,Type 2 diabetes or prostate cancer (pleiotropy),8e-09,,,GCST011320,33290408
rs67763258,DPY19L4,Type 2 diabetes or prostate cancer (pleiotropy),2e-08,,,GCST011320,33290408
rs62516032,POU5F1B,Type 2 diabetes or prostate cancer (pleiotropy),7e-11,,,GCST011320,33290408
rs62516032,PCAT1,Type 2 diabetes or prostate cancer (pleiotropy),7e-11,,,GCST011320,33290408
rs62516032,CASC8,Type 2 diabetes or prostate cancer (pleiotropy),7e-11,,,GCST011320,33290408
rs13287517,HAUS6,Type 2 diabetes or prostate cancer (pleiotropy),1e-14,,,GCST011320,33290408
rs3217992,CDKN2B,Type 2 diabetes or prostate cancer (pleiotropy),8e-09,,,GCST011320,33290408
rs3217992,CDKN2B-AS1,Type 2 diabetes or prostate cancer (pleiotropy),8e-09,,,GCST011320,33290408
rs1758632,UBAP2,Type 2 diabetes or prostate cancer (pleiotropy),1e-12,,,GCST011320,33290408
rs1053403,SEC61A2,Type 2 diabetes or prostate cancer (pleiotropy),3e-08,,,GCST011320,33290408
rs1053403,NUDT5,Type 2 diabetes or prostate cancer (pleiotropy),3e-08,,,GCST011320,33290408
rs12413648,LINC01153 - RN7SKP167,Type 2 diabetes or prostate cancer (pleiotropy),9e-10,,,GCST011320,33290408
rs7103835,RAPSN,Type 2 diabetes or prostate cancer (pleiotropy),3e-10,,,GCST011320,33290408
rs12284087,TPCN2,Type 2 diabetes or prostate cancer (pleiotropy),4e-10,,,GCST011320,33290408
rs3753051,EMSY,Type 2 diabetes or prostate cancer (pleiotropy),3e-09,,,GCST011320,33290408
rs11214775,HTR3B,Type 2 diabetes or prostate cancer (pleiotropy),3e-11,,,GCST011320,33290408
rs17522122,AKAP6,Type 2 diabetes or prostate cancer (pleiotropy),4e-09,,,GCST011320,33290408
rs10400825,Metazoa_SRP - KNL1,Type 2 diabetes or prostate cancer (pleiotropy),3e-09,,,GCST011320,33290408
rs12912009,ARPIN-AP3S2,Type 2 diabetes or prostate cancer (pleiotropy),3e-09,,,GCST011320,33290408
rs12912009,AP3S2,Type 2 diabetes or prostate cancer (pleiotropy),3e-09,,,GCST011320,33290408
rs11656665,SREBF1,Type 2 diabetes or prostate cancer (pleiotropy),8e-10,,,GCST011320,33290408
rs9911983,OSBPL7,Type 2 diabetes or prostate cancer (pleiotropy),5e-08,,,GCST011320,33290408
rs11079847,GIP,Type 2 diabetes or prostate cancer (pleiotropy),3e-09,,,GCST011320,33290408
rs7236466,ZNF236,Type 2 diabetes or prostate cancer (pleiotropy),2e-08,,,GCST011320,33290408
rs6011040,ARFRP1,Type 2 diabetes or prostate cancer (pleiotropy),2e-13,,,GCST011320,33290408
rs9607685,TNRC6B,Type 2 diabetes or prostate cancer (pleiotropy),4e-08,,,GCST011320,33290408
rs10811661,CDKN2B-AS1,Type 2 diabetes,4e-58,0.1569,[0.14-0.18] unit decrease,GCST006867,30054458
rs1758632,UBAP2,Type 2 diabetes,1e-09,0.0491,[0.033-0.065] unit decrease,GCST006867,30054458
rs17791483,KRT18P24 - CHCHD2P9,Type 2 diabetes,3e-12,0.102,[0.073-0.131] unit decrease,GCST006867,30054458
rs2796441,TLE1-DT,Type 2 diabetes,2e-22,0.0715,[0.057-0.086] unit decrease,GCST006867,30054458
rs10114341,PTPDC1 - MIRLET7A1HG,Type 2 diabetes,1e-08,0.0409,[0.027-0.055] unit decrease,GCST006867,30054458
rs687621,ABO,Type 2 diabetes,1e-08,0.0433,[0.028-0.058] unit increase,GCST006867,30054458
rs11257655,CDC123 - RN7SL198P,Type 2 diabetes,2e-17,0.0737,[0.057-0.091] unit increase,GCST006867,30054458
rs2616132,LINC02651 - RPL5P26,Type 2 diabetes,7e-09,0.0455,[0.03-0.061] unit increase,GCST006867,30054458
rs2633310,CAMK2G,Type 2 diabetes,2e-08,0.0443,[0.029-0.06] unit decrease,GCST006867,30054458
rs753270,ZMIZ1,Type 2 diabetes,3e-11,0.0528,[0.037-0.068] unit decrease,GCST006867,30054458
rs7923866,Y_RNA - EXOC6,Type 2 diabetes,9e-40,0.0972,[0.083-0.112] unit decrease,GCST006867,30054458
rs11591741,CHUK,Type 2 diabetes,1e-09,0.0475,[0.032-0.063] unit decrease,GCST006867,30054458
rs7903146,TCF7L2,Type 2 diabetes,0.0,0.3059,[0.29-0.32] unit increase,GCST006867,30054458
rs4918796,TCF7L2,Type 2 diabetes,4e-13,0.0623,[0.045-0.079] unit increase,GCST006867,30054458
rs2421016,PLEKHA1,Type 2 diabetes,1e-10,0.0458,[0.032-0.06] unit decrease,GCST006867,30054458
rs2237892,KCNQ1,Type 2 diabetes,9e-10,0.096,[0.065-0.127] unit decrease,GCST006867,30054458
rs5215,KCNJ11,Type 2 diabetes,2e-20,0.0678,[0.053-0.082] unit increase,GCST006867,30054458
rs7929543,NOX4P1,Type 2 diabetes,2e-09,0.0828,[0.056-0.11] unit increase,GCST006867,30054458
rs1552224,ARAP1,Type 2 diabetes,8.999999999999998e-25,0.1034,[0.084-0.123] unit decrease,GCST006867,30054458
rs10830963,MTNR1B,Type 2 diabetes,6e-30,0.0909,[0.075-0.107] unit increase,GCST006867,30054458
rs7931302,LINC02098 - ETS1,Type 2 diabetes,8e-09,0.0461,[0.03-0.062] unit increase,GCST006867,30054458
rs67232546,ETS1,Type 2 diabetes,5e-10,0.0596,[0.041-0.078] unit increase,GCST006867,30054458
rs67232546,ETS1-AS1,Type 2 diabetes,5e-10,0.0596,[0.041-0.078] unit increase,GCST006867,30054458
rs12299509,CCND2,Type 2 diabetes,2e-10,0.0467,[0.032-0.061] unit increase,GCST006867,30054458
rs11048456,ITPR2-AS1,Type 2 diabetes,3e-09,0.0488,[0.033-0.065] unit increase,GCST006867,30054458
rs10842994,RN7SKP15 - PTHLH,Type 2 diabetes,1e-16,0.0755,[0.058-0.093] unit decrease,GCST006867,30054458
rs2261181,RPSAP52,Type 2 diabetes,9e-17,0.0985,[0.075-0.122] unit increase,GCST006867,30054458
rs2261181,RPSAP52,Type 2 diabetes,9e-17,0.0985,[0.075-0.122] unit increase,GCST006867,30054458
rs1480474,HMGA2,Type 2 diabetes,2e-08,0.0411,[0.027-0.055] unit increase,GCST006867,30054458
rs7138300,PTPRR - TSPAN8,Type 2 diabetes,6e-10,0.0443,[0.03-0.058] unit increase,GCST006867,30054458
rs11107116,SOCS2 - CRADD,Type 2 diabetes,4e-08,0.0467,[0.03-0.063] unit increase,GCST006867,30054458
rs61953351,OASL,Type 2 diabetes,2e-14,0.07,[0.052-0.088] unit decrease,GCST006867,30054458
rs940904,PITPNM2,Type 2 diabetes,2e-09,0.0499,[0.034-0.066] unit decrease,GCST006867,30054458
rs825476,RFLNA,Type 2 diabetes,7e-13,0.0524,[0.038-0.067] unit decrease,GCST006867,30054458
rs576674,TOMM22P3 - KL,Type 2 diabetes,2e-11,0.0654,[0.046-0.084] unit increase,GCST006867,30054458
rs963740,DLEU1,Type 2 diabetes,2e-08,0.0479,[0.031-0.065] unit decrease,GCST006867,30054458
rs963740,DLEU7,Type 2 diabetes,2e-08,0.0479,[0.031-0.065] unit decrease,GCST006867,30054458
rs1359790,LINC01080,Type 2 diabetes,3e-23,0.0796,[0.064-0.095] unit decrease,GCST006867,30054458
rs7144011,NRXN3,Type 2 diabetes,2e-08,0.0482,[0.032-0.065] unit increase,GCST006867,30054458
rs4502156,NPM1P47 - C2CD4B,Type 2 diabetes,2e-08,0.0411,[0.027-0.055] unit decrease,GCST006867,30054458
rs982077,USP3,Type 2 diabetes,3e-10,0.0453,[0.031-0.059] unit increase,GCST006867,30054458
rs7177055,HMG20A - LINGO1,Type 2 diabetes,3e-16,0.0647,[0.049-0.08] unit decrease,GCST006867,30054458
rs4932143,ANPEP - AP3S2,Type 2 diabetes,6e-11,0.0568,[0.04-0.074] unit increase,GCST006867,30054458
rs12910825,PRC1,Type 2 diabetes,2e-12,0.0517,[0.037-0.066] unit increase,GCST006867,30054458
rs12910825,PRC1-AS1,Type 2 diabetes,2e-12,0.0517,[0.037-0.066] unit increase,GCST006867,30054458
rs9940149,FAM234A,Type 2 diabetes,9e-10,0.058,[0.039-0.077] unit decrease,GCST006867,30054458
rs7185735,FTO,Type 2 diabetes,2e-47,0.1056,[0.091-0.12] unit increase,GCST006867,30054458
rs244415,NFAT5,Type 2 diabetes,4e-09,0.0467,[0.031-0.062] unit decrease,GCST006867,30054458
rs77258096,CTRB2 - CTRB1,Type 2 diabetes,2e-18,0.1171,[0.091-0.143] unit decrease,GCST006867,30054458
rs2925979,CMIP,Type 2 diabetes,9e-12,0.0534,[0.038-0.069] unit increase,GCST006867,30054458
rs8068804,ZZEF1,Type 2 diabetes,4e-14,0.0587,[0.043-0.074] unit increase,GCST006867,30054458
rs12945601,RAI1,Type 2 diabetes,2e-09,0.048,[0.032-0.064] unit increase,GCST006867,30054458
rs11651755,HNF1B,Type 2 diabetes,9e-22,0.0741,[0.059-0.089] unit increase,GCST006867,30054458
rs17405722,STAT3 - CAVIN1,Type 2 diabetes,2e-09,0.087,[0.058-0.116] unit increase,GCST006867,30054458
rs9911983,OSBPL7,Type 2 diabetes,5e-08,0.0397,[0.025-0.054] unit decrease,GCST006867,30054458
rs9894220,UBE2Z,Type 2 diabetes,2e-13,0.0585,[0.043-0.074] unit decrease,GCST006867,30054458
rs302864,TEX14,Type 2 diabetes,2e-08,0.071,[0.046-0.096] unit increase,GCST006867,30054458
rs302864,IGBP1C,Type 2 diabetes,2e-08,0.071,[0.046-0.096] unit increase,GCST006867,30054458
rs17631783,TACO1 - FAM136DP,Type 2 diabetes,4e-08,0.0487,[0.031-0.066] unit decrease,GCST006867,30054458
rs7240767,LAMA1,Type 2 diabetes,2e-08,0.0451,[0.029-0.061] unit increase,GCST006867,30054458
rs12970134,RNU4-17P - MC4R,Type 2 diabetes,5e-12,0.0555,[0.04-0.071] unit increase,GCST006867,30054458
rs10401969,SUGP1,Type 2 diabetes,4e-12,0.0921,[0.066-0.118] unit increase,GCST006867,30054458
rs8108269,RN7SL836P - GIPR,Type 2 diabetes,3e-16,0.0644,[0.049-0.08] unit increase,GCST006867,30054458
rs6515236,BBLNP1 - LINC00261,Type 2 diabetes,3e-08,0.0504,[0.033-0.068] unit decrease,GCST006867,30054458
rs6059662,RALY,Type 2 diabetes,2e-08,0.0446,[0.029-0.06] unit decrease,GCST006867,30054458
rs4810426,HNF4A,Type 2 diabetes,2e-08,0.0726,[0.047-0.098] unit increase,GCST006867,30054458
rs4810426,HNF4A-AS1,Type 2 diabetes,2e-08,0.0726,[0.047-0.098] unit increase,GCST006867,30054458
rs6066138,EYA2,Type 2 diabetes,2e-09,0.049,[0.033-0.065] unit decrease,GCST006867,30054458
rs16988333,HORMAD2,Type 2 diabetes,9e-09,0.0745,[0.049-0.1] unit decrease,GCST006867,30054458
rs4823182,SAMM50,Type 2 diabetes,3e-10,0.0482,[0.033-0.063] unit increase,GCST006867,30054458
rs527320094,LINC02796,Type 2 diabetes,5e-09,2.77,[1.81-3.74],GCST006868,30054458
rs184847416,HNRNPKP2 - UBBP1,Type 2 diabetes,1e-08,3.54,[1.95-5.12],GCST006868,30054458
rs146886108,ANKH,Type 2 diabetes,4e-09,1.4084507,[1.27-1.59],GCST006868,30054458
rs78408340,PAM,Type 2 diabetes,4e-14,1.34,[1.24-1.43],GCST006868,30054458
rs551513405,NIPSNAP2 - PSPH,Type 2 diabetes,2e-08,3.05,[1.83-4.28],GCST006868,30054458
rs79768058,CFAP77,Type 2 diabetes,1e-08,2.87,[1.81-3.93],GCST006868,30054458
rs117229942,TCF7L2,Type 2 diabetes,4e-11,1.4285715,[1.3-1.61],GCST006868,30054458
rs576083050,CCDC77 - B4GALNT3,Type 2 diabetes,3e-08,2.34,[1.62-3.05],GCST006868,30054458
rs559651557,RNU7-93P - SFTA3,Type 2 diabetes,3e-08,2.67,[1.72-3.62],GCST006868,30054458
rs79890196,RNU2-3P - NR2F2-AS1,Type 2 diabetes,2e-08,2.6,[1.71-3.48],GCST006868,30054458
rs551640889,XYLT1,Type 2 diabetes,5e-09,3.61,[2.01-5.21],GCST006868,30054458
rs994965583,TFDP1P3 - RPL7L1P15,Type 2 diabetes,2e-07,6.252,,GCST006484,30130595
rs1914711,API5P1 - AGTR2,Type 2 diabetes,1e-09,6.824,,GCST006484,30130595
rs11635657,TRPM1,Type 2 diabetes,2e-07,6.077,,GCST006484,30130595
rs2838820,ADARB1,Type 2 diabetes,6e-07,4.723,,GCST006484,30130595
rs199639153,ITGA2-AS1,Type 2 diabetes,4e-06,8.264462,,GCST006484,30130595
rs3864095,MASP1,Type 2 diabetes,8e-07,5.72,,GCST006484,30130595
rs1631619,LINC02630 - MTND5P17,Type 2 diabetes,9e-07,5.0,,GCST006484,30130595
rs11095909,MAGEC3,Type 2 diabetes,5e-07,4.909,,GCST006484,30130595
rs59457600,LINC02030,Type 2 diabetes,8e-07,4.838,,GCST006484,30130595
rs29582,LINC02152 - TMEM114,Type 2 diabetes,1e-06,4.831,,GCST006484,30130595
rs10823559,PALD1,Type 2 diabetes,1e-06,4.63,,GCST006484,30130595
rs11034036,IFTAP - RPL7AP56,Type 2 diabetes,2e-06,4.7393365,,GCST006484,30130595
rs904372,GABRG3 - OCA2,Type 2 diabetes,8e-07,4.830918,,GCST006484,30130595
rs77989445,RNU11-5P - PRKD1,Type 2 diabetes,9e-07,17.692,,GCST006484,30130595
rs1670754,LINC02506 - LINC02353,Type 2 diabetes,5e-07,7.697,,GCST006484,30130595
rs7213402,MYH10 - CCDC42,Type 2 diabetes,6e-07,7.167,,GCST006484,30130595
rs7646242,TOMM22P6 - LINC01192,Type 2 diabetes,5e-07,4.8543687,,GCST006484,30130595
rs4817543,LINC01548 - IFNAR2,Type 2 diabetes,6e-07,5.263158,,GCST006484,30130595
rs2088315,TOMM22P6 - LINC01192,Type 2 diabetes,8e-07,5.263158,,GCST006484,30130595
rs7566955,RN7SL283P - LINC01853,Type 2 diabetes,8e-07,5.263158,,GCST006484,30130595
rs2049477,SDK1-AS1,Type 2 diabetes,9e-07,5.714286,,GCST006484,30130595
rs136867,DEPDC5,Type 2 diabetes,3e-07,6.329114,,GCST006484,30130595
rs10261386,CPED1,Type 2 diabetes,3e-07,6.711409,,GCST006484,30130595
rs137893140,CDKN2B-AS1,Type 2 diabetes,8e-07,10.526316,,GCST006484,30130595
rs34872471,TCF7L2,Type 2 diabetes,6e-53,1.31,[1.26-1.35],GCST003619,27189021
rs11927381,IGF2BP2,Type 2 diabetes,3e-14,1.14,[1.10-1.17],GCST003619,27189021
rs849134,JAZF1,Type 2 diabetes,6e-13,1.12,[1.09-1.16],GCST003619,27189021
rs13266634,SLC30A8,Type 2 diabetes,1e-11,1.12,[1.09-1.16],GCST003619,27189021
rs7766070,CDKAL1,Type 2 diabetes,2e-11,1.12,[1.09-1.16],GCST003619,27189021
rs10811661,CDKN2B-AS1,Type 2 diabetes,2e-10,1.14,[1.09-1.19],GCST003619,27189021
rs9273401,HLA-DQA1 - HLA-DQB1,Type 2 diabetes,2e-09,1.16,[1.11-1.22],GCST003619,27189021
rs3768321,PABPC4-AS1,Type 2 diabetes,2e-09,1.13,[1.08-1.17],GCST003619,27189021
rs3768321,PABPC4,Type 2 diabetes,2e-09,1.13,[1.08-1.17],GCST003619,27189021
rs6857,NECTIN2,Type 2 diabetes,7e-09,1.12,[1.08-1.16],GCST003619,27189021
rs9687833,C5orf67,Type 2 diabetes,3e-09,1.12,[1.08-1.16],GCST003619,27189021
rs7330796,TBC1D4,Type 2 diabetes,1e-14,4.43,,GCST009732,29926116
rs870992,ITGA1,Type 2 diabetes,2e-08,2.79,,GCST009732,29926116
rs16993330,LARGE1-AS1 - LINC01643,Type 2 diabetes,1e-07,3.52,,GCST009732,29926116
rs7756992,CDKAL1,Type 2 diabetes,1e-08,1.153,[1.1-1.21],GCST006801,26961502
rs1111875,HHEX - Y_RNA,Type 2 diabetes,2e-08,1.142,[1.09-1.19],GCST006801,26961502
rs2261181,RPSAP52,Type 2 diabetes,5e-07,1.203,[1.13-1.28],GCST006801,26961502
rs2261181,RPSAP52,Type 2 diabetes,5e-07,1.203,[1.13-1.28],GCST006801,26961502
rs459193,C5orf67,Type 2 diabetes,1e-06,1.141,[1.09-1.19],GCST006801,26961502
rs3802177,SLC30A8,Type 2 diabetes,1e-06,1.131,[1.08-1.18],GCST006801,26961502
rs163184,KCNQ1,Type 2 diabetes,3e-06,1.114,[1.07-1.16],GCST006801,26961502
rs849135,JAZF1,Type 2 diabetes,3e-06,1.113,[1.07-1.16],GCST006801,26961502
rs1552224,ARAP1,Type 2 diabetes,5e-06,1.163,[1.1-1.23],GCST006801,26961502
rs11257655,CDC123 - RN7SL198P,Type 2 diabetes,5e-06,1.162,[1.1-1.23],GCST006801,26961502
rs7903146,TCF7L2,Type 2 diabetes,7e-45,1.4,[1.35-1.45],GCST006801,26961502
rs9936385,FTO,Type 2 diabetes,1e-09,1.152,[1.11-1.2],GCST006801,26961502
rs10811661,CDKN2B-AS1,Type 2 diabetes,1e-09,1.214,[1.15-1.28],GCST006801,26961502
rs4402960,IGF2BP2,Type 2 diabetes,2e-09,1.155,[1.11-1.2],GCST006801,26961502
rs2296173,MACF1,Type 2 diabetes,8e-14,0.065,[0.048-0.082] unit increase,GCST006867,30054458
rs11925227,SLC2A2 - TNIK,Type 2 diabetes,2e-08,0.0534,[0.035-0.072] unit decrease,GCST006867,30054458
rs1127655,PTGFRN,Type 2 diabetes,2e-08,0.0438,[0.028-0.059] unit increase,GCST006867,30054458
rs3887925,ST6GAL1,Type 2 diabetes,2e-09,0.0474,[0.032-0.063] unit decrease,GCST006867,30054458
rs340874,PROX1,Type 2 diabetes,8e-18,0.0626,[0.048-0.077] unit decrease,GCST006867,30054458
rs340874,PROX1-AS1,Type 2 diabetes,8e-18,0.0626,[0.048-0.077] unit decrease,GCST006867,30054458
rs1801214,WFS1,Type 2 diabetes,6e-34,0.0903,[0.076-0.105] unit decrease,GCST006867,30054458
rs348330,ABCB10,Type 2 diabetes,2e-09,0.0487,[0.033-0.065] unit increase,GCST006867,30054458
rs2867125,LINC01875 - TMEM18,Type 2 diabetes,4e-10,0.0601,[0.041-0.079] unit decrease,GCST006867,30054458
rs7674212,SLC9B2,Type 2 diabetes,6e-10,0.0465,[0.032-0.061] unit decrease,GCST006867,30054458
rs17334919,THADA,Type 2 diabetes,7e-28,0.1398,[0.11-0.16] unit decrease,GCST006867,30054458
rs7685296,FBXW7,Type 2 diabetes,2e-10,0.0511,[0.035-0.067] unit decrease,GCST006867,30054458
rs1009358,LINC02245,Type 2 diabetes,1e-11,0.0545,[0.039-0.07] unit decrease,GCST006867,30054458
rs1009358,LINC02576,Type 2 diabetes,1e-11,0.0545,[0.039-0.07] unit decrease,GCST006867,30054458
rs1061813,ANKH,Type 2 diabetes,3e-09,0.0429,[0.029-0.057] unit increase,GCST006867,30054458
rs12617659,LINC01101 - Y_RNA,Type 2 diabetes,3e-11,0.0685,[0.048-0.089] unit decrease,GCST006867,30054458
rs7572970,RBMS1,Type 2 diabetes,1e-11,0.059,[0.042-0.076] unit decrease,GCST006867,30054458
rs13389219,COBLL1,Type 2 diabetes,2e-22,0.0722,[0.058-0.087] unit decrease,GCST006867,30054458
rs2307111,POC5,Type 2 diabetes,3e-08,0.0407,[0.026-0.055] unit decrease,GCST006867,30054458
rs6878122,ZBED3-AS1,Type 2 diabetes,1e-12,0.0564,[0.041-0.072] unit increase,GCST006867,30054458
rs6878122,PDE8B,Type 2 diabetes,1e-12,0.0564,[0.041-0.072] unit increase,GCST006867,30054458
rs7729395,PAM,Type 2 diabetes,1e-17,0.1373,[0.11-0.17] unit increase,GCST006867,30054458
rs10077431,YTHDC2,Type 2 diabetes,5e-08,0.0487,[0.031-0.066] unit decrease,GCST006867,30054458
rs1050226,SSR1,Type 2 diabetes,3e-11,0.0491,[0.035-0.064] unit decrease,GCST006867,30054458
rs11926707,PTH1R,Type 2 diabetes,2e-08,0.0463,[0.03-0.062] unit decrease,GCST006867,30054458
rs2857605,NFKBIL1,Type 2 diabetes,6e-14,0.0672,[0.05-0.085] unit decrease,GCST006867,30054458
rs6795735,ADAMTS9-AS2,Type 2 diabetes,2e-14,0.0558,[0.041-0.07] unit decrease,GCST006867,30054458
rs11708067,ADCY5,Type 2 diabetes,6e-29,0.0965,[0.08-0.113] unit decrease,GCST006867,30054458
rs9844972,LINC01214,Type 2 diabetes,1e-10,0.0956,[0.067-0.125] unit increase,GCST006867,30054458
rs9369425,VEGFA - LINC02537,Type 2 diabetes,1e-10,0.0546,[0.038-0.071] unit increase,GCST006867,30054458
rs72892910,TFAP2B - RPS17P5,Type 2 diabetes,6e-11,0.0648,[0.045-0.084] unit increase,GCST006867,30054458
